Ulasan;
Ini adalah tempat yang bagus untuk membawa keluarga anda di sini. Anak-anak anda dapat bermain di sini. Mereka memiliki banyak pilihan. Dan juga ada taman lampion. Tempat yang bagus untuk mengambil foto di sana.;
Tempat yang bagus untuk membawa anak-anak, banyak wahana dan atraksi, mereka bahkan di belakang jalur gocart ;
Saya datang bersama mengunjungi tempat tersebut. Hotel ini terletak di jalan oro-oro ombo raya 200, batu, malang. Dengan area sekitar 3000 meter persegi, tempat ini hanya seperti mini disneyland. Objek wisata utama Glallery hantu, rumah kaca, taman lentera berwarna, pergi gerobak, 4D bioskop, pasar dan pusat makanan di malam hari. Ini adalah tempat yang bagus untuk keluarga dengan anak muda atau anak-anak. Seperti namanya, tempat ini buka dari sore sampai tengah malam 15.;
Aku suka tempat ini. Layak. Seperti namanya, spektakuler! Orang-orang juga ramah. Saya suka horor house, sepeda terbang di langit, taman lentera berwarna sangat manis... cocok untuk semua orang, pasangan, keluarga.;
Ini adalah tempat yang bagus untuk pengalaman menyenangkan & bermain waktu... anda harus pergi ke taman lampion. Tidak mencoba makanan karena itu terlihat biasa-biasa saja;
Aku pergi di sini dua kali pada dua kunjungan yang berbeda. Saya selalu ingin datang ke sini untuk bermain atau sekedar berfoto atau bahkan berbelanja. Tempatnya tidak terlalu besar tapi padat. Lampion yang besar dan indah. Mereka memiliki berbagai miniatur menara di dunia. Saya akan merekomendasikan tempat ini untuk keluarga dengan anak-anak.;
Ada banyak lampu dengan bentuk yang berbeda di malam hari, tapi saya tidak menemukan apapun yang menarik saat itu. Sisanya akan menjadi taman hiburan yang lebih untuk anak-anak. Kami harus membeli tiket tambahan untuk setiap jenis permainan di tempat ini. Orang dewasa yang pergi ke ruang di mana makanan bisa memesan makanan dan mereka hanya duduk, chit mengobrol. Tapi itu juga tidak menarik. Makanan yang tidak menarik. Lorong gelap dan juga aktivitas (?) hal yang akan menjadi pasar lokal yang menjual merchandise.;
tempat yang bagus untuk menghabiskan malam, bila anda tak tahu ke mana harus pergi, ada juga masakan indonesia seperti sate kelinci jalan makanan (sate kelinci) dll. ;
Tempat yang bagus untuk anak-anak. Kami memiliki balita 1, jadi saya tidak berpikir itu tempat yang sesuai untuk anak-anak. Kita hanya dapat menikmati taman lentera berwarna, selain itu untuk anak remaja kami. Mereka memiliki sepeda udara, rumah hantu, bull naik, dan taman hiburan lainnya kerecokan. ;
"Bukan tempat yang baik untuk memiliki pekerjaan jika anda tidak dari batu, tempat ini hanya seperti satu lecak funland. Jika anda tidak membeli ""tiket terusan"", anda akan biaya untuk setiap tempat anda ingin naik. Objek wisata utama di kota untuk tempat ini adalah lentera berwarna palace (lampion).";
Lampion yang layak melihat. Sisanya adalah agak sini terutama kawasan perbelanjaan. Harap dicatat bahwa biaya masuk adalah hanya itu. Anda harus membayar secara terpisah untuk setiap perjalanan, wisata dll. Pada umumnya, tidak ada yang istimewa.;
Itu adalah seperti taman hiburan lainnya, tapi itu dibuka pada 4 pm. Aku mencoba salah satu objek wisata di mana aku naik kereta api yang di atas. Itu adalah menantang karena gelap dan dingin (i mengenakan celana pendek dan aku merasa dingin). Ada sebuah kafetaria di dalam tapi makanan begitu-begitu. Selera makanan yang dijual di pedagang di luar adalah lebih baik.;
"Ini adalah taman hiburan. Baik untuk mengunjungi di malam hari dan mengambil beberapa pic dengan ""lentera berwarna"". Jangan lupa bawa payung karena itu luar ruangan.";
Di mana anda dapat menangkap BNS ratusan foto anda dan teman-teman anda terutama di area taman lentera berwarna. Taman hiburan yang sangat cocok untuk anak-anak & orang dewasa. Tiket masuk juga terjangkau. Jika anda dari kota-kota lain, itu lebih baik untuk menghabiskan malam di sini di situs ini. ;
Kami tiba di sana dan tidak bisa menunggu untuk mendapatkan keluarga di sana. Kami menyukai taman di dalam lentera berwarna bns, kami harus membayar 15000 rupiah untuk masuk ke lentera berwarna park. sangat cantik dan manis. Ada banyak kios makanan di dengan harga terjangkau bns. ;
Tempat ini adalah tempat yang bagus tapi tidak cukup besar untuk taman hiburan. Tempat wisata ini bagus. Jika anda memiliki anak-anak, tempat ini adalah hanya untuk mereka. Tempat parkir terbatas, terutama saat akhir pekan dan musim liburan. Anda harus membayar lebih mahal untuk parkir di luar taman ini sekitar 10 000 idr.;
tidak benar-benar menikmati tempat ini. Aku pergi ke sana karena saya penasaran tentang lampu-lampu apa yang ada di sana. Lampu-hal ini cukup bagus, yang bagus untuk foto-foto.;
nah untuk permainan ini tidak jauh, tetapi jika anda membawa anak-anak, mungkin itu akan cukup untuk mereka. Makanan begitu begitu, tapi aku mencintai lentera berwarna garden karena tempat itu indah. ;
Anda dan anak-anak akan menyukai taman ini. Dengan objek wisata dan hotel penuh. Lampu taman ini juga indah. Wajib dikunjungi!;
Tempat ini terletak di agak iklim yang sejuk. Tempat ini begitu ramai karena di sana kita dapat menghabiskan waktu dengan bermain banyak permainan dan juga menghabiskan waktu dengan keluarga anda untuk menikmati taman lentera berwarna. Anda harus membayar untuk IDR 7500/pax senin sampai jumat, sabtu IDR 12,500/pax untuk hingga minggu, kota di/IDR 10,000. Terdapat 25 kota di anda dapat melakukannya dan anda juga dapat menikmati di night market dan anda dapat menemukan foodcourts. Anda dapat memilih apa yang anda ingin makan dan minum. Ada banyak toko-toko untuk mendapatkan beberapa suvenir dan lain-lain. Tempat ini begitu fantastis dan anda dapat menghabiskan waktu bersama teman dan keluarga juga.;
Tempat ini terletak di agak iklim yang sejuk. Namun fasilitas hanya rata-rata. Banyak toko tersedia untuk anda seperti di jalan keluar.;
Kami pergi di sini dengan anak-anak kita (usia 8 & 11) benar-benar tidak tahu apa yang harus mengharapkan tetapi terkejut. Tiket IDR 100 000 menggaetmu yang memberikan akses ke sebagian besar atraksi wisata/5 atau 6 di luar tetapi bergerak (misalnya trampolin, go-kart). Hanya satu memperkuda diizinkan pada sebagian besar perjalanan. Taman ini memiliki beberapa wahana taman hiburan lain (misalnya dodgem mobil, kapal bajak laut), sebagian besar yang tampak cukup baru dan terawat dengan baik. Beberapa favorit tua juga, seperti dedemitan mengursus. Beberapa fasilitas wisata seperti galeri foto/gambar optik yang kita benar-benar menyukai. Pilihan makanan sedikit terbatas - kami pikir Monopoli adalah yang terbaik. Perlu diketahui tidak ada taksi tersedia sehingga jika anda memerlukan peringkat taksimenuju rumah anda salah. Kami bersyukur bahwa tiket masuk dan mereka cukup baik untuk menelepon satu untuk kita. ;
Semua BNS begitu menarik saya telah pergi ke sana dua kali. Malam saya bisa menjadi spektakuler, terdapat begitu banyak permainan seperti rodeo, mini games keyek gamezone, rumah hantu, night cafe, live music dan sebagainya, dan anda dapat membeli berbagai barang unik di tempat sebelum pulang... , Secara keseluruhan sangat direkomendasikan.;
seperti malam-malam kermis di batu kota. Banyak permainan dan objek wisata yang menarik, dan mereka juga memiliki taman lampion.;
Saya pikir itu adalah seperti sebuah taman atau tempat dengan dekorasi penuh cahaya. Namun pada kenyataannya, itu lebih seperti sebuah pasar malam dengan kurangnya fasilitas dan jenis konsep hiburan. Aku hanya menghabiskan sekitar satu jam di sana dan (jelas) tidak pernah ingin mengunjungi lagi di sana.;
Menarik dan tempat yang bagus tapi hanya untuk malam, tapi sebagian besar tempat menarik sedikit tlc untuk anak-anak, bahkan untuk orang dewasa. Aku cinta kopi, latte, tapi di tempat ini harga tidak masuk akal. Parkir tidak resmi yang tinggi dengan harga yang ada, terletak di samping gerbang resmi dan sangat dekat ke salah satu, jika ini adalah kunjungan pertama anda, mungkin anda butuh tempat yang salah untuk taman. jadi tetap berkendara di sebelah tiket menimbal meskipun seseorang melambaikan tangan anda untuk memarkir kendaraan anda.;
Tempat ini sempurna jika anda ingin memiliki sebuah petualangan dengan pacar anda. itu menyenangkan dan romantis pada waktu yang sama. Anda bisa memulai perjalanan dengan mengendarai swing, kemudian berakhir dengan mengendarai mobil ini tinggi kudakan. Di tinggi naik mobil anda bisa melihat pemandangan kota malang dari atas, dan itu indah. Anda hanya perlu duduk santai dan menikmati perjalanan dengan pasangan anda. jangan lupa bawa kamera dan jaket, karena cuacanya yang begitu dingin di malam hari. Dan jangan pergi di musim puncak, hal itu akan terlalu ramai;
Tempat ini sempurna untuk actitivities di malam hari dengan keluarga dan teman-teman. Jangan lupa bawa jaket atau sweater anda karena itu cukup dingin. Anda harus mencoba untuk 3D fotograph politik dengan berbagai jenis. ;
Mengunjungi tempat ini untuk perusahaan perjalanan. Di sana rata-rata dan tidak benar-benar direkomendasikan. Di wahana ini sangat menyenangkan, terutama gravitasi memperkuda. Pastikan bahwa anda mengunjungi cahaya kebun untuk beberapa foto bagus dan atmosfer.;
cocok untuk keluarga yang membawa anak-anak mereka dan terdapat juga sebuah lentera berwarna taman untuk pasangan yang ingin waktu romantis dengan pemandangan untuk foto mereka.;
Jika anda ingin menghabiskan sabtu malam dengan teman atau keluarga dengan anak-anak mereka tempat ini adalah baik. Tidak sempurna tapi akan menampung apa-apa yang anda butuhkan.;
Ini adalah sederhana, namun besar theme park, dan kota ini memiliki beberapa wahana yang sangat cantik lentera berwarna park. Ini cocok untuk anak-anak dan remaja, dan mereka tampaknya menikmati taman ini sangat banyak. Direkomendasikan untuk mengunjungi.;
Ini adalah besar, jangan salah paham. Aku menikmati berada di sana, meskipun sangat lelah dari bermain laser tag dan berkendara dengan gokart untuk 5 putaran. Lampion yang mengagumkan juga.;
Taman hiburan ini memiliki banyak wahana, kebanyakan anak-anak dan orang dewasa yang semua orang lain. Jika anda menikmati wahana seru dan punya nyali untuk melakukannya, anda akan menikmati itu. Bagi mereka yang tidak, apa yang tersisa pada dasarnya adalah mengecam taman (yang cukup baik). Anda juga dapat mengunjungi pasar malam yang menjual makanan dan suvenir atau food court. ;
pertama kali datang ke sini. Saya kagum dengan pencahayaan, sangat banyak dan penuh warna. Aku berjalan dari semua atraksi, salah satu terbaik kebun adalah lentera berwarna.;
Selain lampion berwarna-warni, apa-apa tapi menyenangkan. Ada beberapa baik, tetapi jika anda telah mengunjungi taman Jatim 2, maka anda tidak perlu untuk menikmati wahana... Hanya bertujuan untuk lentera, yang berarti anda harus pergi pada malam hari.;
Banyak tempat menarik yang bisa anda pilih dan mencoba tempat ini. Ini adalah tempat yang bagus untuk bersenang-senang dengan keluarga atau dengan teman-teman anda. Ada banyak tempat yang menjual makanan yang terlalu.;
Saya mengunjungi tempat ini dengan teman-teman saya 20yo rata-rata. Tidak termasuk tiket masuk kudakan. Anda akan membayar lebih untuk setiap perjalanan. Bagi kami, tempat ini sangat membosankan, dan mungkin cocok untuk anak-anak. ;
Lihat adalah besar, begitu banyak lampu-lampu berwarna-warni. Tapi yang lebih menarik adalah pameran yang diperlukan. Hotel gokart juga terlalu mahal.;
Jika anda ingin menikmati malam hari dengan lampu berwarna-warni banyak, ini adalah tempat yang tepat untuk mengunjungi di batu, malang. Banyak objek wisata yang dapat anda temukan di sini, dan anda dapat menikmati pemandangan malam kota malang dari sini juga. ;
Ini adalah menyenangkan tempat untuk mengunjungi di malam hari dengan banyak objek wisata untuk anak-anak muda atau remaja. Jangan lupa untuk mengunjungi lentera berwarna park.;
"Taman hiburan yang besar, untuk pasangan ada ""lentera berwarna cinta"" ini bagus dan indah, anda juga dapat bermain gokarts di sini, membawa anak-anak anda dan mereka akan senang";
Pada dasarnya sama dengan taman hiburan lainnya. Mereka memiliki beberapa naik untuk anak-anak, beberapa adrenalin untuk para penggemar, dan beberapa untuk horor aneh. Tapi satu yang membuat ini tempat khusus adalah lentera berwarna garden. Banyak makhluk, karakter kartun, dan landmark dibuat menjadi lentera berwarna. Kami juga dapat mengambil gambar dengan mereka. ;
anda harus membayar untuk setiap game di dalam, jadi tiket tidak termasuk permainan. Tapi makanan court memiliki banyak pilihan, yang harga sangat terjangkau, bahkan mereka memiliki pertunjukan tari, theaterical, dan air show di sana.;
Wahana yang mengagumkan. Kecuali pergi gerobak. Pedal gas tidak bekerja dengan benar-benar baik harus tekan keras kemudian itu akan pergi cepat. Transportasi yang baik, tidak sangat baik. Tapi ini tempat yang bagus untuk bersenang-senang seperti anak-anak kecil. ;
Larut malam, melihat banyak lentera berwarna, banyak anak-anak bermain game air mancur, di udara terbuka... Itu adalah benar-benar dingin dan berangin di malam hari. Yang indah hanya datang ketika malam hari tiba. Itu selalu penuh dengan orang-orang yang datang untuk melihat dan bermain beberapa game di sini. Satu kondisi, yang tidak nyaman adalah pengaturan area parkir, itu benar-benar berantakan. Dekat bns, kami dapat menemukan beberapa tradisional ketan snack, yang hadir benar-benar lama waktu yang lalu. Beberapa toko susu, yang melayani minuman di panas atau dingin. sejauh ini sangat bagus untuk anak-anak untuk bermain di sekitar tetapi tampaknya sulit untuk memiliki hidangan utama.;
Saya akan mengatakan saya cukup senang. Sejujurnya saya tidak melakukan apa-apa di samping duduk dan menonton hari menjadi malam. Semilir udara adalah menenangkan sementara anda dapat melihat pemandangan kota di malam hari. Mencoba mengunjungi bns itu bukan akhir pekan panjang dan liburan sekolah, hotel ini akan menjadi lebih menyenangkan karena tidak ramai. Tiket harga adalah wajar. Perbaikan dari tempat ini adalah diperlukan, terutama pemeliharaan daerah perhatian.;
Tidak ada yang istimewa... Kami harus membayar tiket masuk, dan membayar lebih untuk menikmati wahana. Tempat ini cocok untuk keluarga dan anak-anak mereka. Tetapi tidak untuk saya...;
Kami menyukai lentera berwarna. Dan taman hiburan. Tapi kami tidak suka selai memasuki hiburan untuk parkir. Kami butuh waktu 2 jam untuk akhirnya park mobil kami. Harus menempatkan lebih banyak tanda-tanda di jalan atau informasi untuk park di tempat lain dan berjalan ke hiburan, jadi untuk pertama kalinya pengunjung seperti kami, tidak akan membuang-buang waktu untuk menunggu di baris hanya tempat untuk parkir. ;
Ini adalah harus mengunjungi tempat ketika anda tinggal di batu terutama adalah anda datang dengan keluarga, anak-anak anda akan menyukainya.;
Pergi ke bns di awal september dengan teman-teman. Kami hanya menghabiskan satu jam di sana setelah perjalanan panjang dari tempat lain. Kunjungan singkat, tapi tempat itu cukup lucu untuk mata mengantuk, terutama Lampions gardens. Akan senang untuk kembali, tapi kali ini, saya akan mengambil anak saya dengan saya. Dia akan menyukainya... :) ;
seperti lain taman bertema dengan jenis, adrenalin game, bns adalah lebih kecil daripada yang lain. Bns ini harus dikunjungi jika anda pelancong dengan anak-anak. Tapi yang paling menarik adalah lentera berwarna garden objek wisata, sehingga anda harus mengunjungi tempat ini di malam hari.;
saya seperti lentera berwarna, tapi tempat wisata ini tidak tertarik dan saya pikir ini tidak aman. jangan pergi di musim hujan!;
tidak ada yang istimewa kecuali 3D lukisan. Tapi sekarang mereka telah di seminyak juga, jadi kami tidak untuk pergi ke sana lagi. Kami harus membayar untuk masuk dan kami harus membayar jika kami ingin menikmati naik. :-( ;
